roi_name,mean_depth,min_depth,max_depth,start,stop,length,mean_maf,total_depth,total_nonmajor_depth,guid
lineage1,111.76168224299066,0,240,13298,4411016,428,0.003206732106684698,47834,169,528
lineage1.1,115.54285714285714,72,157,84528,4404247,35,0.002980961158692916,4044,13,528
lineage1.1.1,113.48979591836735,37,207,55069,4338242,49,0.003684796716704105,5561,20,528
lineage1.1.1.1,112.09756097560975,56,225,10986,4395468,123,0.0025253015110989962,13788,40,528
lineage1.1.2,113.56115107913669,0,237,12234,4411400,139,0.0032301838322364882,15785,60,528
lineage1.1.3,114.96491228070175,18,241,15177,4407780,57,0.0041225511851505055,6553,29,528
lineage1.2,97.4,71,116,2971122,2977410,5,0.0,487,0,528
lineage1.2.1,110.20547945205479,54,170,27473,4348418,73,0.0024924211704397538,8045,19,528
lineage1.2.2,113.97727272727273,1,214,5075,4360524,88,0.002598485037898126,10030,28,528
lineage2,121.25,72,206,11820,4378504,96,0.002102701265960499,11640,29,528
lineage2.1,109.85238095238095,49,213,10972,4395083,210,0.00339026721854395,23069,85,528
lineage2.2,116.1304347826087,58,208,16119,4407927,115,0.002191682804485677,13355,35,528
lineage2.2.1,114.29032258064517,77,162,35608,4311664,31,0.005896332620700536,3543,21,528
lineage2.2.1.1,110.27272727272727,82,145,57298,4370038,22,0.003183466882058668,2426,11,528
lineage2.2.1.2,110.4375,25,260,27577,4384120,48,0.006636815273612515,5301,40,528
lineage2.2.2,119.85714285714286,80,262,15890,4400839,70,0.0025005576816946535,8390,23,528
lineage3,114.28510638297873,9,204,12204,4396495,235,0.005465190506513328,26857,150,528
lineage3.1,103.0,103,103,958362,958362,1,0.0,103,0,528
lineage3.1.1,109.29885057471265,45,172,32103,4380159,87,0.004271895186874532,9509,46,528
lineage3.1.2,125.85714285714286,74,181,34605,4132949,14,0.004955878368569228,1762,11,528
lineage3.1.2.1,110.61904761904762,68,150,194030,3731461,21,0.0027563105162837142,2323,8,528
lineage3.1.2.2,111.43396226415095,34,187,10265,4406399,159,0.0035460751573034516,17718,71,528
lineage4,115.34905660377359,71,243,15117,4407588,106,0.0024983901671381276,12227,34,528
